,Dept,Number,Course_Name,Professor_x,Start_Time,End_Time,Location,Description,Pre/coreqs,Offered,Dept + Number,Unnamed: 0.1,Professor_y,Median Grade,Semester (Ex: SP21),# of Students,Notes,Semester,Pre/Coreqs_Clean,ID,Name,Number_of_Ratings,Average_Rating,Difficulty,Take Again,CU_Reviews_Difficulty,CU_Reviews_Rating,CU_Reviews_Workload
280,PAM,3280,Fundamentals of Population Health,Julie Carmalt,02:45PM,04:00PM,To Be Assigned,"Population health focuses on the health and well‐being of entire populations. Populations may be geographically defined, such as neighborhoods or counties; may be based on groups of individuals who share common characteristics such as age, race‐ethnicity, disease status, or socioeconomic status; or may be specific patient groups ""attributed"" to accountable healthcare organizations using a variety of methods. With roots in epidemiology, public health, and demography, key tools of population health include health measurement, risk stratification, chronic care management, identifying ""upstream"" social determinants of health, cross-sector collaboration to improve prevention and wellness, and increasing health equity. Given the shifting health care environment – from fee‐for‐service to value‐based care – students who are able to apply tools to measure analyze, evaluate, and improve the health of populations (and achieve the Triple Aim) will be well‐positioned for jobs in health care, health policy, public health, and medicine (among others) as the field continues to evolve.","Recommended prerequisite: at least one of the following DSOC 1101, DSOC 2200, HD 1150, HD 1170, HD 2180, PAM 2030, PAM 2100, PAM 2208, PAM 2300, PAM 2350, PSYCH 1101, SOC 1101.",Fall.,PAM 3280,547.0,Carmalt,A+,FA19,218.0,Prof is a sweetheart,4.0,[],1782009.0,Julie Carmalt,12.0,4.5,1.8,88.8889,1.25,5.0,1.0
281,BIOMI,3210,Human Microbes and Health,Anthony Hay,01:00PM,02:15PM,To Be Assigned,"The microbes on and in our bodies are as abundant as our own cells. These diverse microorganisms provide us with metabolic capacities beyond our own and are essential to good health, but can also play a role in disease.This course will introduce the microbes of the human body, discuss their origins, adaptations to the body, molecular interactions, and associations with health and disease.",Prerequisite: BIOMI 2900 or permission of instructor.,Fall.,BIOMI 3210,111.0,Hay,B+,FA19,24.0,,4.0,[],1726353.0,Anthony Hay,12.0,2.8,3.4,100.0,,,
282,GOVT,3303,Politics of the Global North,Lowell Turner,11:25AM,12:40PM,To Be Assigned,"From a perspective based on comparative political economy, this course examines pressing contemporary issues such as the politics of growing inequality.  We consider conflicts around markets, democracy, economic and social justice, including the efforts of actors such as governments and labor unions aimed at economic recovery, reducing inequality, and the reform of national and global economic policy and institutions.  We also look at distinctive types of political and economic organization, especially in Europe and the United States, and the capacities of these societies to meet current economic, political, and social challenges, both domestic and international.",,Fall.,GOVT 3303,350.0,Lowell,A-,FA19,113.0,,4.0,[],221639.0,Lowell Turner,31.0,4.0,2.4,71.4286,,,
283,AEP,1100,Lasers and Photonics,Peter McMahon,10:10AM,11:00AM,To Be Assigned,"Lasers have had an enormous impact on communications, medicine, remote sensing, and material processing. This course reviews the properties of light that are essential to understanding the underlying principles of lasers and these photonic technologies. There also is a strong, hands-on laboratory component in which the students build and operate a nitrogen laser and participate in several demonstration experiments such as holography, laser processing of materials, optical tweezers, and fiber optics.",,Spring.,AEP 1100,35.0,MacMahon,B+,FA19,28.0,,4.0,[],2695258.0,Peter McMahon,0.0,0.0,0.0,-1.0,3.0,4.0,
284,CS,4750,Foundations of Robotics,Tapomayukh Bhattacharjee,03:45PM,04:35PM,To Be Assigned,"Robotics is interdisciplinary and draws inspiration from many different fields towards solving a variety of tasks in real-world environments using physical systems. This course is a challenging introduction to basic computational concepts used broadly in robotics. By the end of this course, students should have a fundamental understanding of how the different sub-fields of robotics such as kinematics, state-estimation, motion planning, and controls come together to develop intelligent behaviors in physical robotic systems. The mathematical basis of each area will be emphasized, and concepts will be motivated using common robotics applications. Students will be evaluated using a mixture of theoretical and programming exercises throughout the semester. Students will also participate in group projects towards the end of the semester, in which they will implement algorithms discussed in class to real robotics problems.","Prerequisite: MATH 1920 or MATH 2220, and MATH 2940, and CS 1110 or permission of instructor. Recommended corequisite: CS 1133 and CS 3220.",Fall.,CS 4750,217.0,Knepper,A-,FA19,83.0,,4.0,[],,,,,,,4.0,3.0,4.0
285,ENGRI,1100,Lasers and Photonics,Peter McMahon,10:10AM,11:00AM,To Be Assigned,"Lasers have had an enormous impact on communications, medicine, remote sensing, and material processing. This course reviews the properties of light that are essential to understanding the underlying principles of lasers and these photonic technologies. There also is a strong, hands-on laboratory component in which the students build and operate a nitrogen laser and participate in several demonstration experiments such as holography, laser processing of materials, optical tweezers, and fiber optics.",,Spring.,ENGRI 1100,313.0,MacMahon,B+,FA19,28.0,,4.0,[],2695258.0,Peter McMahon,0.0,0.0,0.0,-1.0,3.5,3.0,3.0
286,EAS,1540,Introductory Oceanography,Bruce Monger,11:20AM,12:10PM,To Be Assigned,"This class relies more on intuitive reasoning rather than complicated mathematical formulas to convey basic concepts about how the ocean works. For this reason, the class is very accessible to non-science majors. The class covers standard material about how the ocean works, but also includes current environmental threats facing the ocean such as global warming, ocean acidification, overfishing and coastal pollution. Students will gain a depth of knowledge about the ocean and global warming to enable them to speak and write confidently about contemporary public issues regarding the health of the ocean, global warming and a sustainable future. This course satisfies the Physical and Biological Sciences (PBS) requirement for students in most colleges. For students in A&amp;S and CALS, this course counts as ""in-college"" credit.",,Fall.,EAS 1540,238.0,Monger,A-,FA19,887.0,,4.0,[],778584.0,Bruce Monger,74.0,4.7,1.8,95.6522,1.81,4.56,1.81
287,BIOEE,1781,Introduction to Evolution and Diversity,Lina Arcila Hernandez,,,,"Considers explanations for pattern of diversity and the apparent good fit of organisms to the environment. Topics include the diversity of life, the genetics and developmental basis of evolutionary change, processes at the population level, evolution by natural selection, modes of speciation, long-term trends in evolution, origin of humans.",,"Fall, Spring, Summer.",BIOEE 1781,90.0,Hernandez,A-,FA19,26.0,,4.0,[],,,,,,,,,
288,ENGRD,2250,The Earth System,Rowena Lohman,11:25AM,12:40PM,To Be Assigned,"EAS 2250 provides a broad math-, physics-, and chemistry-based introduction to the earth sciences, including geology, paleontology, oceanography, and atmospheric science. Topics covered include formation of the Earth, the chemistry and physics of the Earth's interior, plate tectonics, weathering and erosion, soil development, stream and groundwater flow, volcanism and crustal deformation, the evolution of life, ocean and atmospheric structure, circulation and heat transport, ocean waves and tides, generation of storms, seawater chemistry, mineral and energy resources, and climate change.",Prerequisite: MATH 1110 or MATH 1910.,"Fall, Spring.",ENGRD 2250,305.0,Lohman,A,FA19,28.0,,4.0,[],2481759.0,Rowena Lohman,5.0,5.0,2.4,100.0,3.0,5.0,2.5
289,MUSIC,4621,Cornell Chamber Orchestra,,04:45PM,06:25PM,To Be Assigned,"The goal of this music performance course is to provide the opportunity for you as a string performer to come together with other like-minded musicians in an ensemble setting to rehearse and perform the highest quality literature from the chamber orchestra repertoire. In this course we will focus on overall concepts of self and ensemble expression, engagement, participation, and performance. We will also address musical concepts of ensemble and individual balance, blend, intonation, phrasing, dynamics, articulation, tone, rhythmic precision, color, and ensemble clarity. We are going to listen to ourselves, to each other and to the composer's voice.",,"Fall, Spring.",MUSIC 4621,513.0,Kilburn,A,FA19,17.0,,4.0,[],,,,,,,,,
290,MAE,4340,Innovative Product Design via Digital Manufacturing,Robert Shepherd,09:05AM,09:55AM,To Be Assigned,"Combined lecture and laboratory course on the new product development cycle: iterative design based on prototyping, testing, consumer feedback, and limitations set by mass manufacturing. The course instructs students on methods to identify product concepts for machine designs with commercial potential. Design teams will perform market analysis and explore the intellectual property space around their ideas and rapidly iterate them into a final prototype via digital manufacturing (e.g., 3D CAD files manifested via robotic printing or machining); advanced instruction on these tools will be given, and quantitative marketing will be used as feedback. Early stage prototypes will progress into more sophisticated designs as the class progresses. Scale-up (cost, pricing, tooling) considerations for mass manufacturing will be taken into account, as well as quantitative analysis of machine designs for the expected utility.",,Fall.,MAE 4340,454.0,"Shepherd, Simoncini",A+,FA19,,,4.0,[],,,,,,,,,
291,HADM,2410,Marketing Principles,Scott Erickson,02:45PM,04:00PM,To Be Assigned,"This is a foundational marketing course that includes the study of concepts, activities, and decisions related to the exchange process, managing the marketing mix, and development of marketing strategy in for-profit and not-for-profit organizations. Students learn about basic principles of marketing management, with a special focus on the service industry. Emphasis is placed upon how the concepts and ideas might be applied to various marketing decision-making situations.",,"Fall, Spring.",HADM 2410,374.0,Li,A-,FA19,246.0,,4.0,[],2561462.0,Scott Erickson,3.0,2.7,2.0,66.6667,2.3,3.0,2.5
292,HADM,2210,Managerial Accounting,Francisco de Asis Martinez Jerez,11:25AM,12:40PM,To Be Assigned,"This course focuses on the use of accounting information for management decision making and control in hospitality settings. Topics include costing objects, budgeting, financial decision making, cost behavior, and management control systems. There will be one common final exam at the end of the semester.",Prerequisite: HADM 1210.,"Fall, Spring.",HADM 2210,368.0,Paz,B+,FA19,,Fall 2021,4.0,[],,,,,,,4.0,3.0,3.67
293,BIOMG,3310,Principles of Biochemistry: Proteins and Metabolism,Linda Nicholson,10:10AM,11:00AM,To Be Assigned,"The chemical reactions important to biology, and the enzymes that catalyze these reactions, are discussed in an integrated format. Topics include: protein folding, enzyme catalysis, bioenergetics, and key reactions of synthesis and catabolism.","Prerequisite: one majors-level biology course and one year general chemistry and any of the following organic chemistry courses: CHEM 1570 or CHEM 3530 or CHEM 3570 or CHEM 3590 or equivalent, or permission of instructor.",Fall.,BIOMG 3310,103.0,Feigenson (retired Fall 2019),B+,FA19,221.0,,4.0,[],1524854.0,Linda Nicholson,7.0,4.4,4.0,100.0,3.8,4.0,3.0
294,AEP,4500,Introductory Solid State Physics,David Muller,09:40AM,10:55AM,To Be Assigned,"Introduction to the physics of crystalline solids. Covers crystal structures; diffraction; electronic states and density functional theory; lattice vibrations; and metals, insulators, and semiconductors. Covers optical properties, magnetism, and superconductivity as time allows. The majority of the course addresses the foundations of the subject, but time is devoted to modern and/or technologically important topics such as quantum size effects. At the level of Introduction to Solid State Physics by Kittel or Solid State Physics by Ashcroft and Mermin.","Recommended prerequisite: PHYS 4443, AEP 3610 or CHEM 7930.",Fall.,AEP 4500,46.0,Fennie,A-,FA19,22.0,,4.0,[],650286.0,David Muller,3.0,3.5,3.0,-1.0,,,
295,SPAN,2095,Spanish Intermediate Composition and Conversation II,Tomas Bevia,10:10AM,11:00AM,To Be Assigned,"This advanced-intermediate course is designed to prepare students for study abroad and is required for any Cornell CASA program in a Spanish speaking country.  It also serves as an entryway into the major, and advanced-level courses. Students study stylistics, analyze and discuss texts, view films, and acquire advanced reading strategies. Continued emphasis is on writing and editing academic essays with peer and instructor feedback. Classes are in Spanish, and the language is actively used in oral presentations and communicative, creative, and critical-thinking activities. Students review grammar structures on their own, although the instructor may clarify as needed.","Prerequisite: SPAN 2070, SPAN 2090, or CASE Q+.","Fall, Spring.",SPAN 2095,612.0,"Amigo-Silvestre, Maldonado-Mendez",B+,FA19,54.0,,4.0,[],1020320.0,Tomas Bevia,19.0,4.5,3.6,71.4286,3.2,4.0,4.0
296,ENGRI,1160,Modern Structures,Kenneth Hover,09:40AM,10:55AM,To Be Assigned,"A hands-on introduction to structural engineering, combining classroom demonstrations and presentations with laboratory experience. Students predict hurricane wind forces and design key elements in a high-rise building to resist those forces. Students design a residential wood-deck based on laboratory tests to stretch, compress, shear, split, and bend wooden specimens. Students build brick walls and fail them under simulated hurricane and tornado wind pressures, weld steel bars and pull them apart, and forensically examine the failures. Students use software to analyze and design steel truss bridges, and become proficient at using spreadsheets to perform routine structural calculations and graph the results. Students become familiar with structural concrete by designing, building and testing small-scale reinforced-concrete frames to resist large dynamic forces.",,Fall.,ENGRI 1160,319.0,Hover,A,FA19,49.0,,4.0,[],,,,,,,2.33,5.0,2.5
297,HADM,2360,"Food Service Management, Theory and Practice",Christopher Gaulke,08:05AM,09:20AM,To Be Assigned,"This course introduces food and beverage operations management through four major components: fundamental food composition and properties; food products and preparation; food safety; and the application of management concepts to food and beverage operations. Students prepare recipes, menus, and production schedules; critically evaluate foods; and are involved in projects in which they create menus, develop and standardize recipes, and calculate yield percentages and food cost. Completion of a four-hour practicum experience in Establishment is a required course activity.",Prerequisite: HADM 1360.,"Fall, Spring.",HADM 2360,373.0,Gaulke,A-,FA19,120.0,,4.0,[],2263236.0,Christopher Gaulke,9.0,1.8,3.8,22.2222,3.5,3.5,3.0
298,GOVT,3281,Constitutional Politics,Dawn Chutkow,01:00PM,02:15PM,Myron Taylor Hall 184,"This course investigates the United States Supreme Court and its role in politics and government. It traces the development of constitutional doctrine, the growth of the Court's institutional power, and the Court's interaction with Congress, the president, and society. Discussed are major constitutional law decisions, their political contexts, and the social and behavioral factors that affect judges, justices, and federal court jurisprudence.",,Fall.,GOVT 3281,349.0,Chutkow,A-,FA19,135.0,,4.0,[],1419546.0,Dawn Chutkow,28.0,4.5,3.3,95.2381,3.0,4.3,3.0
299,EAS,3410,Atmospheric Thermodynamics and Hydrostatics,Arthur Degaetano,09:05AM,09:55AM,To Be Assigned,"Introduction to the thermodynamics and hydrostatics of the atmosphere and to the methods of description and quantitative analysis used in meteorology. Topics include thermodynamic processes of dry air, water vapor, and moist air and concepts of hydrostatics and stability.",Prerequisite: one year of calculus and one semester of physics.,Fall.,EAS 3410,248.0,Wysocki,B,FA19,14.0,,4.0,[],2379470.0,Arthur Degaetano,5.0,4.0,3.0,80.0,4.0,5.0,3.0
300,CHEM,3890,Honors Physical Chemistry I,,10:10AM,11:00AM,To Be Assigned,"CHEM 3890 - CHEM 3900 is a year-long sequence covering key topics in physical chemistry. CHEM 3890 introduces the use of mathematics and physics to investigate chemical systems. The fundamental principles of quantum mechanics are introduced and applied to understanding the structure and spectra of atoms and molecules. Specific topics include exact and approximate solutions to the Schrödinger equation, angular momentum, bonding and molecules, and spectroscopy. CHEM 3900 follows with an introduction to the behavior of ensembles of quantum particles (statistical mechanics), the laws of thermodynamics, and kinetic theory.","Prerequisite: PHYS 2208 and CHEM 2080, or MATH 2130 or MATH 2310 or MATH 2220, or permission of instructor.",Fall.,CHEM 3890,156.0,Ananth,A-,FA19,93.0,,4.0,[],,,,,,,5.0,1.0,4.0
301,FDSC,1101,Science and Technology of Foods,Christopher Loss,09:05AM,09:55AM,To Be Assigned,"Explores the application of science and technology to foods. Lectures elucidate the role of engineering, biotechnology, chemistry, biochemistry, nutrition, toxicology, and microbiology in supplying the world with safe and nutritious food. An overview of food science as a discipline and career choice is given. A laboratory exercise in food development is undertaken.",,Fall.,FDSC 1101,326.0,Loss,A,SP19,84.0,,5.0,[],,,,,,,1.4,5.0,1.0
302,EAS,2900,Introduction to Programming for Meteorology and Climate Science,Flavio Lehner,11:25AM,12:40PM,To Be Assigned,"Introduction to Python programming and visualization specifically tailored to applications in meteorology and climate science. Topics include: basic Python programming, data manipulation, and instruction in the use of scientific analysis and visualization packages such as numpy, pandas, xarray, cartopy, and metpy.","Prerequisite: EAS 1310 and MATH 1110, or equivalent.",Fall.,EAS 2900,246.0,Wysocki,B,SP19,17.0,,5.0,[],2707035.0,Flavio Lehner,1.0,5.0,3.0,100.0,,,
303,SPAN,2070,Intermediate Spanish for the Medical and Health Professions,Monica Bevia,10:10AM,11:00AM,,"Provides a conversational grammar review, with dialogues, debates, compositions, and authentic readings on health-related themes. Special attention is given to relevant cultural differences and how cultural notions may affect medical care and communication between doctor and patient. The objective of 2070 is to provide practice in real-life application, such as taking a medical history, calming a patient, and how to speak to a Hispanic patient in a culturally acceptable manner. After this course, a student may take or SPAN 2095.","Prerequisite: SPAN 1230, LPS 56-64, Q on CASE exam.","Fall, Spring.",SPAN 2070,608.0,Arias Fuentes,A-,FA18,47.0,,6.0,[],1320090.0,Monica Bevia,17.0,4.8,2.8,100.0,4.0,5.0,3.0
304,PSYCH,1103,Introductory Psychology Seminars,Parnia Haj-Mohamadi,,,To Be Assigned,Weekly seminar that may be taken in addition to PSYCH 1101 to provide an in-depth exploration of selected areas in the field of psychology. Involves extensive discussion and a semester paper related to the seminar topic. Choice of seminar topics and meeting times are available at the second lecture of PSYCH 1101.,Corequisite: PSYCH 1101.,Fall.,PSYCH 1103,592.0,Pizarro/Werth/Others,A+,FA18,29.0,PSYCH 1101 opt supplement,6.0,[],2662892.0,Parnia Haj-Mohamadi,6.0,4.7,3.2,83.3333,1.0,4.0,1.0
305,ILRLR,3055,Rhetoric of the Labor Movement,Samuel Nelson,07:30PM,10:00PM,To Be Assigned,"This course equips students to use different modes of rhetorical analysis to examine historical and contemporary artifacts in critical ways.  Grading is based on class participation, tests and a final paper.  The final paper requires students to identify primary source materials with a connection to either past or present labor movements and apply one or more of these modes of rhetorical criticism as the basis of an unique investigation into a particular labor movement's significant symbolic acts.  Students will be expected to hone their own teaching and public speaking skills by giving at least one major in class presentation.",,"Fall, Spring.",ILRLR 3055,412.0,Nelson,A,FA18,48.0,,6.0,[],,,,,,,1.0,3.0,2.0
306,GOVT,2225,Controversies About Inequality,Joseph Sullivan,01:00PM,02:15PM,To Be Assigned,"In recent years, poverty and inequality have become increasingly common topics of public debate, as academics, journalists, and politicians attempt to come to terms with growing income inequality, with the increasing visibility of inter-country differences in wealth and income, and with the persistence of racial, ethnic, and gender stratification. This course introduces students to ongoing social scientific debates about the sources and consequences of inequality, as well as the types of public policy that might appropriately be pursued to reduce (or increase) inequality. These topics will be addressed in related units, some of which include guest lectures by faculty from other universities (funded by the Center for the Study of Inequality). Each unit culminates with a highly spirited class discussion and debate.",,Fall.,GOVT 2225,345.0,Haskins,A,FA18,249.0,,6.0,[],2705103.0,Joseph Sullivan,2.0,4.5,2.0,100.0,2.3,4.5,2.0
307,CHIN,1101,Beginning Mandarin I,Stephanie Divo,09:05AM,09:55AM,To Be Assigned,"For complete beginners only, providing a thorough grounding in conversational and reading skills. Students with any previous background or training in the language will need to take the Mandarin Placement Test to determine which Chinese course will best suit their needs.
 ",,Fall.,CHIN 1101,160.0,Divo,A-,FA18,45.0,,6.0,[],1030046.0,Stephanie Divo,21.0,4.6,3.4,80.0,3.75,5.0,4.5
308,LING,3321,History of Romance Languages I,Ti Alkire,12:25PM,01:15PM,To Be Assigned,"The Romance languages are the lasting imprint of all that happened to the Latin language as it moved through time, territories, and people of many ethnicities.  While the Latin of antiquity retained its prestige in high culture, the natural untutored usage of ordinary people was always free to go its own way.  This course covers the following topics, selected to create a panoramic view:  Formation of the general Romance seven-vowel system from Latin.  Early and widespread sound changes in popular Latin.  Finding and interpreting evidence for trends in popular Latin pronunciation.  The comparative method and its limitations.  Essential later sound changes, some of which ceate a whole new order of consonants unknown to Latin but conspicuous in Romance.  Nouns and adjectives from Latin to Romance.  Formation of the present indicative: the competing forces of sound change and analogical adjustment.  A brief overview of Portuguese.  Variants of the seven-vowel system.  Salient features of Romanian.  Factors that helped shape the vocabulary of Romance.  Medieval diglossia.  Emergence of Romance vernaculars newly recognized by their speakers as languages distinct from Latin and from each other.  Close analysis of the oldest surviving document written unmistakably in Romance (842 C. E.).","Prerequisite: a 2000-level (or higher) course in any Romance language, and some familiarity with a second one or with Latin.",Fall.,LING 3321,440.0,Alkire,A,FA18,19.0,,6.0,[],414493.0,Ti Alkire,18.0,4.5,2.5,80.0,3.0,5.0,
309,DEA,3510,Human Factors and Inclusive Design,Jay Yoon,01:00PM,02:15PM,To Be Assigned,"The course explores how human factors and user inclusivity can be systematically considered and implemented in the development of products (e.g., the capabilities and constraints of the physical, cognitive and cultural makeup of human beings). The course includes practical exercises and field project work.",Recommended prerequisite: DEA 1500.,Fall.,DEA 3510,227.0,Hedge,B,FA18,14.0,,6.0,[],,,,,,,2.0,3.0,2.0
310,MUSIC,2101,"Theory, Materials and Techniques I",Lawrence Shuster,09:05AM,09:55AM,To Be Assigned,"Study of the foundations of tonal music as manifested primarily in the Western literate tradition, also incorporating examples from various vernacular idioms. The course combines modern pedagogical methods with the study of historical sources and focuses on active learning at the keyboard. Topics to be covered include rudiments such as scales and triads; melodic and harmonic principles; voice-leading strategies and schemata; species counterpoint; improvisation, including techniques of embellishment; rhythm, meter, and gesture. During sections, the concepts and skills introduced in lecture will be practiced at the keyboard as well as vocally. Other section activities include elements of musicianship (aural skills, intervallic production and identification, rhythmic accuracy and fluency, etc.); transcription; sight singing; and score reading.","Prerequisite: basic ability to read/write music, to sing/play an instrument, and to navigate the keyboard (advanced skills not necessary), as evaluated by diagnostic exam (administered in first class meeting of semester) and/or permission of instructor.",Fall.,MUSIC 2101,506.0,Moseley,B+,FA18,27.0,,6.0,[],,,,,,,3.0,5.0,4.0
311,BEE,4730,Watershed Engineering,Todd Walter,10:10AM,11:00AM,To Be Assigned,"Teaches basic engineering design and analysis as practiced for water control and nonpoint source pollution prevention. Discusses the origins of design approaches, including their theoretical bases and recent or emerging methods and concepts. Most of the course is dedicated to practicing applied design. Assignments are generally representative of real-life engineering problems and involve as much hands-on experience as possible. Some example topics include risk analysis, water conveyance, stormwater management, including green infrastructure and low-impact development.",Prerequisite: CEE 3310 or hydrology course.,Fall.,BEE 4730,80.0,Walter,A-,FA18,49.0,,6.0,[],568824.0,Todd Walter,10.0,4.7,2.7,100.0,,,
312,MATH,2310,Linear Algebra with Applications,Liam Mazurowski,01:00PM,02:15PM,To Be Assigned,"Introduction to linear algebra for students who wish to focus on the practical applications of the subject. A wide range of applications are discussed and computer software may be used. The main topics are systems of linear equations, matrices, determinants, vector spaces, orthogonality, and eigenvalues. Typical applications are population models, input/output models, least squares, and difference equations.","Prerequisite: one semester of college-level calculus, such as MATH 1106 or MATH 1110, or equivalent AP credit.",Fall.,MATH 2310,475.0,Borum,A-,FA18,37.0,N,6.0,[],,,,,,,,,
313,BEE,4750,Environmental Systems Analysis,Vivek Srikrishnan,11:25AM,12:40PM,To Be Assigned,"Applications of mathematical modeling, simulation, and optimization to environmental-quality management. Fate and transport models for contaminants in air, water, and soil. Optimization methods (search techniques, linear programming, integer programming) to evaluate alternatives for waste management and water and air pollution control. Introduction to the impact of uncertainty on solutions and decisions through introductory stochastic programming, and risk assessment through simulation.",Prerequisite: BEE 2510 or BEE 2600 or permission of instructor.,Fall.,BEE 4750,81.0,Anderson,A-,FA18,43.0,,6.0,[],,,,,,,,,
314,BIOMG,2801,Laboratory in Genetics and Genomics,Kristina Blake-Hodek,11:20AM,12:10PM,To Be Assigned,"General introduction to laboratory experimental genetics. Topics include gene transmission, linkage, recombination, gene structure, mutations, and manipulation. ","Prerequisite or corequisite: BIOMG 2800. Recommended prerequisite: BIOG 1500. If you have not taken BIOMG 1350 or biochemistry (BIOMG 3300, BIOMG 3320, BIOMG 3330, or BIOMG 3350) previously, it is recommended that you take BIOMG 2800 as a prerequisite for BIOMG 2801. ","Fall, Spring, Summer.",BIOMG 2801,101.0,Blake,B+,FA18,142.0,,6.0,[],2315766.0,Kristina Blake-Hodek,3.0,5.0,3.3,100.0,3.33,3.5,4.0
315,MAE,3050,Introduction to Aeronautics,Gregory Bewley,09:05AM,09:55AM,To Be Assigned,"Principles of incompressible and compressible aerodynamics, boundary layers, and wing theory. Calculation of lift and drag for aircraft. Analysis of aerodynamic performance. Introduction to stability and control. Introduction to aircraft design.","Prerequisite: MAE 2030. Prerequisite or corequisite: ENGRD 2210 or BEE 2220, MAE 3230 or CHEME 3230 or BEE 3310 or CEE 3310, or permission of instructor.",Fall.,MAE 3050,444.0,Bewley,A-,FA18,45.0,,6.0,[],,,,,,,,,
316,EAS,1330,Basic Meteorology Lab,Mark Wysocki,11:20AM,01:20PM,Snee Hall Geological Sci 2161A,Required for atmospheric science majors but is optional for other students taking EAS 1310.,Corequisite: EAS 1310.,Fall.,EAS 1330,237.0,Wysocki,A-,FA18,11.0,Rubric usually TA-designed,6.0,[],135315.0,Mark Wysocki,36.0,4.1,3.1,100.0,,,
317,EAS,1310,Basic Principles of Meteorology,Mark Wysocki,09:05AM,09:55AM,To Be Assigned,"Simplified treatment of the structure of the atmosphere: heat balance of the Earth; general and secondary circulations; air masses, fronts, and cyclones; and hurricanes, thunderstorms, tornadoes, and atmospheric condensation. The optional 1-credit laboratory for the course is offered as EAS 1330.",,Fall.,EAS 1310,236.0,Wysocki,B-,FA18,32.0,,6.0,[],135315.0,Mark Wysocki,36.0,4.1,3.1,100.0,3.3,4.5,1.0
318,ILRLR,3300,Advocacy and Debate,Samuel Nelson,07:30PM,10:00PM,To Be Assigned,"Students learn the principles of argumentation and debate. Topics emphasize Internet database research, synthesis of collected data, policy analysis, evidentiary quality, refutation of counter claims, identification of logical fallacies, risk evaluation, framing of issues, and coherent storytelling. Prepares students to work with a great range of opinion and evidence. Emphasizes different viewpoints, including those of different cultures. Assumptions are interrogated. ",,"Fall, Spring.",ILRLR 3300,414.0,Nelson,A,FA18,178.0,,6.0,[],,,,,,,1.3,4.3,1.3
319,COMM,2200,Media Communication,,02:45PM,04:00PM,To Be Assigned,"Introduction to media history, industry, content, policy, process, and effects.",,"Fall, Summer.",COMM 2200,175.0,Humphreys,A-,FA18,95.0,Cookie Cutter Essays,6.0,[],,,,,,,2.75,5.0,4.0
320,BTRY,4030,Linear Models with Matrices,Dana Yang,02:45PM,04:00PM,To Be Assigned,"The focus of this course is the theory and application of the general linear model expressed in its matrix form. Topics will include: least squares estimation, multiple linear regression, coding for categorical predictors, residual diagnostics, anova decomposition, polynomial regression, model selection techniques, random effects and mixed models, maximum likelihood estimation and distributional theory assuming normal errors. Homework assignments will involve computation using the R statistical package.","Prerequisite: STSCI 2150 or STSCI 2200/BTRY 3010 or equivalent, BTRY 3080 or equivalent, MATH 1920 or MATH 2130 or equivalent, MATH 2210 or equivalent, STSCI 3200/BTRY 3020 or BTRY 6020.",Fall.,BTRY 4030,129.0,Giles,B+,FA18,64.0,,6.0,[],,,,,,,,,
321,CEE,4510,Microbiology for Environmental Engineering,Ruth Richardson,11:20AM,12:10PM,To Be Assigned,"Introduction to the fundamental aspects of microbiology and biochemistry that are pertinent to environmental engineering and science. Provides an overview of the characteristics of Bacteria, Archaea, unicellular Eukaryotes (protozoa, algae, fungi), and viruses. Includes discussions of cell structure, bioenergetics and metabolism, and microbial genetics. Focus is then applied to topics pertinent to environmental engineering: pathogens; disease and immunity; environmental influences on microorganisms; roles of microbes in the carbon, nitrogen, and sulfur cycles; enzymes; bioremediation, bioenergy, molecular microbiology; and microbial ecology.","Prerequisite: CHEM 2090 and CHEM 1570, or permission of instructor.",Fall.,CEE 4510,140.0,Richardson,A-,FA17,44.0,,8.0,[],1184943.0,Ruth Richardson,11.0,4.2,2.6,100.0,,,
322,AAS,2100,South Asian Diaspora,Viranjini Munasinghe,02:55PM,04:10PM,To Be Assigned,"This interdisciplinary course (with an emphasis in anthropology) will introduce students to the multiple routes/roots, lived experiences, and imagined worlds of South Asians who have traveled to various lands at different historical moments spanning Fiji, South Africa, Mauritius, Britain, Malaysia, United States, Trinidad, and even within South Asia itself such as the Tamil-speaking population of Sri Lanka. The course will begin with the labor migrations of the 1830s and continue up to the present period. The primary exercise will be to compare and contrast the varied expressions of the South Asian Diaspora globally in order to critically evaluate this transnational identity. Thus, we will ask what, if any, are the ties that bind a fifth-generation Indo-Trinidadian whose ancestor came to the New World as an indentured laborer or ""coolie"" in the mid-19th century to labor in the cane fields, to a Pakistani medical doctor who migrated to the United States in the late 1980s. If Diaspora violates a sense of identity based on territorial integrity, then could ""culture"" serve as the basis for a shared identity?",,Fall.,AAS 2100,,,,,,,,[nan],,,,,,,,,
323,AAS,4950,Independent Study,Viranjini Munasinghe,,,,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work.,,"Fall, Spring.",AAS 4950,,,,,,,,[nan],,,,,,,,,
