,Dept,Number,Course_Name,Professor,Start_Time,End_Time,Description,Pre/coreqs,Dept + Number,Median Grade,Semester (Ex: SP21),Semester,Pre/Coreqs_Clean,Number_of_Ratings,Average_Rating,Difficulty,CU_Reviews_Difficulty,CU_Reviews_Rating,CU_Reviews_Workload
1021,ANTHR,3235,Bioarchaeology,Matthew Velasco,02:45PM,04:00PM,"Bioarchaeology is the study of human remains from archaeological sites. Like forensic scientists at the scene of the crime, bioarchaeologists search for clues embedded in human bone and mummified tissues to reconstruct how ancient peoples lived and died. As a dynamic living system, the human skeleton responds not only to hormones that govern human development but also to physiological stress brought on by disease, malnutrition, and trauma. The human body is also an artifact molded by cultural understandings of gender, prestige, self-expression, and violence. In this course, students will learn the scientific techniques for estimating skeletal age and sex, diagnosing pathology, and reconstructing diet and migration patterns. This course emphasizes the critical integration of biological and cultural evidence for understanding past individuals and societies.
 ",,ANTHR 3235,,,,[nan],5.0,5.0,2.6,,,
1022,ANTHR,6235,Bioarchaeology,Matthew Velasco,02:45PM,04:00PM,"Bioarchaeology is the study of human remains from archaeological sites. Like forensic scientists at the scene of the crime, bioarchaeologists search for clues embedded in human bone and mummified tissues to reconstruct how ancient peoples lived and died. As a dynamic living system, the human skeleton responds not only to hormones that govern human development but also to physiological stress brought on by disease, malnutrition, and trauma. The human body is also an artifact molded by cultural understandings of gender, prestige, self-expression, and violence. In this course, students will learn the scientific techniques for estimating skeletal age and sex, diagnosing pathology, and reconstructing diet and migration patterns. This course emphasizes the critical integration of biological and cultural evidence for understanding past individuals and societies.",,ANTHR 6235,,,,[nan],5.0,5.0,2.6,,,
1023,ARKEO,3235,Bioarchaeology,Matthew Velasco,02:45PM,04:00PM,"Bioarchaeology is the study of human remains from archaeological sites. Like forensic scientists at the scene of the crime, bioarchaeologists search for clues embedded in human bone and mummified tissues to reconstruct how ancient peoples lived and died. As a dynamic living system, the human skeleton responds not only to hormones that govern human development but also to physiological stress brought on by disease, malnutrition, and trauma. The human body is also an artifact molded by cultural understandings of gender, prestige, self-expression, and violence. In this course, students will learn the scientific techniques for estimating skeletal age and sex, diagnosing pathology, and reconstructing diet and migration patterns. This course emphasizes the critical integration of biological and cultural evidence for understanding past individuals and societies.
 ",,ARKEO 3235,,,,[nan],5.0,5.0,2.6,,,
1024,ARKEO,6235,Bioarchaeology,Matthew Velasco,02:45PM,04:00PM,"Bioarchaeology is the study of human remains from archaeological sites. Like forensic scientists at the scene of the crime, bioarchaeologists search for clues embedded in human bone and mummified tissues to reconstruct how ancient peoples lived and died. As a dynamic living system, the human skeleton responds not only to hormones that govern human development but also to physiological stress brought on by disease, malnutrition, and trauma. The human body is also an artifact molded by cultural understandings of gender, prestige, self-expression, and violence. In this course, students will learn the scientific techniques for estimating skeletal age and sex, diagnosing pathology, and reconstructing diet and migration patterns. This course emphasizes the critical integration of biological and cultural evidence for understanding past individuals and societies.",,ARKEO 6235,,,,[nan],5.0,5.0,2.6,,,
1025,BSOC,3235,Bioarchaeology,Matthew Velasco,02:45PM,04:00PM,"Bioarchaeology is the study of human remains from archaeological sites. Like forensic scientists at the scene of the crime, bioarchaeologists search for clues embedded in human bone and mummified tissues to reconstruct how ancient peoples lived and died. As a dynamic living system, the human skeleton responds not only to hormones that govern human development but also to physiological stress brought on by disease, malnutrition, and trauma. The human body is also an artifact molded by cultural understandings of gender, prestige, self-expression, and violence. In this course, students will learn the scientific techniques for estimating skeletal age and sex, diagnosing pathology, and reconstructing diet and migration patterns. This course emphasizes the critical integration of biological and cultural evidence for understanding past individuals and societies.
 ",,BSOC 3235,,,,[nan],5.0,5.0,2.6,,,
1026,ANTHR,3245,Across the Seas: Contacts between the Americas and the Old World Before Columbus,John Henderson,02:45PM,04:00PM,"This course considers the possibility of connections between the America and the Old World before the Spanish discovery not only as an empirical question, but also as an intensely controversial issue that has tested the limits of the scholarly detachment that archaeologists imagine characterizes their perspectives. We will consider the evidence for several possible episodes of interaction as well as the broader issue of how long-distance interaction can be recognized in the archaeological record.  Transoceanic contact is a common element in popular visions of the American past, but most professional archaeologists have rejected the possibility with great vehemence.  The issue provides an interesting case study in the power of orthodoxy in archaeology.",,ANTHR 3245,,,,[nan],21.0,2.5,2.5,,,
1027,ANTHR,3255,Ancient Mexico and Central America,John Henderson,09:40AM,10:55AM,"An introduction to ancient Mesoamerica, focusing on the nature and development of societies that are arguably the most complex to develop anywhere in the precolumbian Americas.  The course provides a summary of the history of the region before the European invasion, but the emphasis is on the organization of Mesoamerican societies: the distinctive features of Mesoamerican cities, economies, political systems, religion.  We begin by considering Mesoamerican societies at the time of the Spanish invasion.  Our focus will be on descriptions of the Aztecs of Central Mexico by Europeans and indigenous survivors, in an attempt to extract from them a model of the fundamental organizational features of one Mesoamerican society, making allowances for what we can determine about the perspectives and biases of their authors.  We then review the precolumbian history of Mesoamerica looking for variations on these themes as well as indications of alternative forms of organization.  We will also look at such issues as the transition from mobile to sedentary lifeways, the processes involved in the domestication of plants and animals, the emergence of cities and states, and the use of invasion-period and ethnographic information to interpret precolumbian societies in comparative perspective.",,ANTHR 3255,,,,[nan],21.0,2.5,2.5,,,
1028,ANTHR,6245,Across the Seas: Contacts between the Americas and the Old World Before Columbus,John Henderson,02:45PM,04:00PM,"This course considers the possibility of connections between the America and the Old World before the Spanish discovery not only as an empirical question, but also as an intensely controversial issue that has tested the limits of the scholarly detachment that archaeologists imagine characterizes their perspectives. We will consider the evidence for several possible episodes of interaction as well as the broader issue of how long-distance interaction can be recognized in the archaeological record.  Transoceanic contact is a common element in popular visions of the American past, but most professional archaeologists have rejected the possibility with great vehemence.  The issue provides an interesting case study in the power of orthodoxy in archaeology.",,ANTHR 6245,,,,[nan],21.0,2.5,2.5,,,
1029,ANTHR,6255,Ancient Mexico and Central America,John Henderson,09:40AM,10:55AM,"An introduction to ancient Mesoamerica, focusing on the nature and development of societies that are arguably the most complex to develop anywhere in the precolumbian Americas. The course provides a summary of the history of the region before the European invasion, but the emphasis is on the organization of Mesoamerican societies: the distinctive features of Mesoamerican cities, economies, political systems, religion. We begin by considering Mesoamerican societies at the time of the Spanish invasion. Our focus will be on descriptions of the Aztecs of Central Mexico by Europeans and indigenous survivors, in an attempt to extract from them a model of the fundamental organizational features of one Mesoamerican society, making allowances for what we can determine about the perspectives and biases of their authors. We then review the precolumbian history of Mesoamerica looking for variations on these themes as well as indications of alternative forms of organization. We will also look at such issues as the transition from mobile to sedentary lifeways, the processes involved in the domestication of plants and animals, the emergence of cities and states, and the use of invasion-period and ethnographic information to interpret precolumbian societies in comparative perspective.",,ANTHR 6255,,,,[nan],21.0,2.5,2.5,,,
1030,ARKEO,3245,Across the Seas: Contacts between the Americas and the Old World Before Columbus,John Henderson,02:45PM,04:00PM,"This course considers the possibility of connections between the America and the Old World before the Spanish discovery not only as an empirical question, but also as an intensely controversial issue that has tested the limits of the scholarly detachment that archaeologists imagine characterizes their perspectives. We will consider the evidence for several possible episodes of interaction as well as the broader issue of how long-distance interaction can be recognized in the archaeological record.  Transoceanic contact is a common element in popular visions of the American past, but most professional archaeologists have rejected the possibility with great vehemence.  The issue provides an interesting case study in the power of orthodoxy in archaeology.",,ARKEO 3245,,,,[nan],21.0,2.5,2.5,,,
1031,ARKEO,3255,Ancient Mexico and Central America,John Henderson,09:40AM,10:55AM,"An introduction to ancient Mesoamerica, focusing on the nature and development of societies that are arguably the most complex to develop anywhere in the precolumbian Americas.  The course provides a summary of the history of the region before the European invasion, but the emphasis is on the organization of Mesoamerican societies: the distinctive features of Mesoamerican cities, economies, political systems, religion.  We begin by considering Mesoamerican societies at the time of the Spanish invasion.  Our focus will be on descriptions of the Aztecs of Central Mexico by Europeans and indigenous survivors, in an attempt to extract from them a model of the fundamental organizational features of one Mesoamerican society, making allowances for what we can determine about the perspectives and biases of their authors.  We then review the precolumbian history of Mesoamerica looking for variations on these themes as well as indications of alternative forms of organization.  We will also look at such issues as the transition from mobile to sedentary lifeways, the processes involved in the domestication of plants and animals, the emergence of cities and states, and the use of invasion-period and ethnographic information to interpret precolumbian societies in comparative perspective.",,ARKEO 3255,,,,[nan],21.0,2.5,2.5,,,
1032,ARKEO,6245,Across the Seas: Contacts between the Americas and the Old World Before Columbus,John Henderson,02:45PM,04:00PM,"This course considers the possibility of connections between the America and the Old World before the Spanish discovery not only as an empirical question, but also as an intensely controversial issue that has tested the limits of the scholarly detachment that archaeologists imagine characterizes their perspectives. We will consider the evidence for several possible episodes of interaction as well as the broader issue of how long-distance interaction can be recognized in the archaeological record.  Transoceanic contact is a common element in popular visions of the American past, but most professional archaeologists have rejected the possibility with great vehemence.  The issue provides an interesting case study in the power of orthodoxy in archaeology.",,ARKEO 6245,,,,[nan],21.0,2.5,2.5,,,
1033,ARKEO,6255,Ancient Mexico and Central America,John Henderson,09:40AM,10:55AM,"An introduction to ancient Mesoamerica, focusing on the nature and development of societies that are arguably the most complex to develop anywhere in the precolumbian Americas. The course provides a summary of the history of the region before the European invasion, but the emphasis is on the organization of Mesoamerican societies: the distinctive features of Mesoamerican cities, economies, political systems, religion. We begin by considering Mesoamerican societies at the time of the Spanish invasion. Our focus will be on descriptions of the Aztecs of Central Mexico by Europeans and indigenous survivors, in an attempt to extract from them a model of the fundamental organizational features of one Mesoamerican society, making allowances for what we can determine about the perspectives and biases of their authors. We then review the precolumbian history of Mesoamerica looking for variations on these themes as well as indications of alternative forms of organization. We will also look at such issues as the transition from mobile to sedentary lifeways, the processes involved in the domestication of plants and animals, the emergence of cities and states, and the use of invasion-period and ethnographic information to interpret precolumbian societies in comparative perspective.",,ARKEO 6255,,,,[nan],21.0,2.5,2.5,,,
1034,LATA,3550,Ancient Mexico and Central America,John Henderson,09:40AM,10:55AM,"An introduction to ancient Mesoamerica, focusing on the nature and development of societies that are arguably the most complex to develop anywhere in the precolumbian Americas.  The course provides a summary of the history of the region before the European invasion, but the emphasis is on the organization of Mesoamerican societies: the distinctive features of Mesoamerican cities, economies, political systems, religion.  We begin by considering Mesoamerican societies at the time of the Spanish invasion.  Our focus will be on descriptions of the Aztecs of Central Mexico by Europeans and indigenous survivors, in an attempt to extract from them a model of the fundamental organizational features of one Mesoamerican society, making allowances for what we can determine about the perspectives and biases of their authors.  We then review the precolumbian history of Mesoamerica looking for variations on these themes as well as indications of alternative forms of organization.  We will also look at such issues as the transition from mobile to sedentary lifeways, the processes involved in the domestication of plants and animals, the emergence of cities and states, and the use of invasion-period and ethnographic information to interpret precolumbian societies in comparative perspective.",,LATA 3550,,,,[nan],21.0,2.5,2.5,,,
1035,LATA,6255,Ancient Mexico and Central America,John Henderson,09:40AM,10:55AM,"An introduction to ancient Mesoamerica, focusing on the nature and development of societies that are arguably the most complex to develop anywhere in the precolumbian Americas. The course provides a summary of the history of the region before the European invasion, but the emphasis is on the organization of Mesoamerican societies: the distinctive features of Mesoamerican cities, economies, political systems, religion. We begin by considering Mesoamerican societies at the time of the Spanish invasion. Our focus will be on descriptions of the Aztecs of Central Mexico by Europeans and indigenous survivors, in an attempt to extract from them a model of the fundamental organizational features of one Mesoamerican society, making allowances for what we can determine about the perspectives and biases of their authors. We then review the precolumbian history of Mesoamerica looking for variations on these themes as well as indications of alternative forms of organization. We will also look at such issues as the transition from mobile to sedentary lifeways, the processes involved in the domestication of plants and animals, the emergence of cities and states, and the use of invasion-period and ethnographic information to interpret precolumbian societies in comparative perspective.",,LATA 6255,,,,[nan],21.0,2.5,2.5,,,
1036,ANTHR,3325,Food and Work,Sarah Besky,02:45PM,04:00PM,"This course will explore key topics in the critical study of labor and capitalism through the lens of food. Questions of race, gender, and class, but also toxicity, settler colonialism, as well as production and reproduction can all be read in the landscapes of food provision and procurement. Food is the ground for an array of labor processes—planting, harvesting, transporting, serving, and eating, just to name a few. Some of these forms of work are overt (stooped workers toiling in pesticide ridden field, for example). But some of these forms of work are invisible and unpaid. And sometimes, they are incredibly well remunerated but totally shadowy. By studying these different forms of work comparatively, we can understand genealogies and futures of inequality, resource use, and the nature of work itself. ",,ANTHR 3325,,,,[nan],1.0,4.0,2.0,,,
1037,ILRIC,3325,Food and Work,Sarah Besky,02:45PM,04:00PM,"This course will explore key topics in the critical study of labor and capitalism through the lens of food. Questions of race, gender, and class, but also toxicity, settler colonialism, as well as production and reproduction can all be read in the landscapes of food provision and procurement. Food is the ground for an array of labor processes—planting, harvesting, transporting, serving, and eating, just to name a few. Some of these forms of work are overt (stooped workers toiling in pesticide ridden field, for example). But some of these forms of work are invisible and unpaid. And sometimes, they are incredibly well remunerated but totally shadowy. By studying these different forms of work comparatively, we can understand genealogies and futures of inequality, resource use, and the nature of work itself. ",,ILRIC 3325,,,,[nan],1.0,4.0,2.0,,,
1038,ILRIC,5325,Food & Work,Sarah Besky,02:45PM,04:00PM,,,ILRIC 5325,,,,[nan],1.0,4.0,2.0,,,
1039,ANTHR,3950,Humanities Scholars Research Methods,Durba Ghosh,02:45PM,04:00PM,"This course explores the practice, theory, and methodology of humanities research, critical analysis, and communication through writing and oral presentation. We will study the work and impact of humanists (scholars of literature, history, theory, art, visual studies, film, anthropology, gender and sexuality studies), who pose big questions about the human condition. By reading and analyzing their scholarship—critiquing them and engaging their ideas—we will craft our own methods and voices. Students will refine their research methods (library research, note taking, organizing material, bibliographies, citation methods, proposals, outlines, etc.) and design their own independent research project. Students enrolled in this seminar will have the opportunity to participate in the Humanities Scholars Program.",,ANTHR 3950,,,,[nan],9.0,4.2,3.5,,,
1040,ARTH,3755,Humanities Scholars Research Methods,Durba Ghosh,02:45PM,04:00PM,"This course explores the practice, theory, and methodology of humanities research, critical analysis, and communication through writing and oral presentation. We will study the work and impact of humanists (scholars of literature, history, theory, art, visual studies, film, anthropology, gender and sexuality studies), who pose big questions about the human condition. By reading and analyzing their scholarship—critiquing them and engaging their ideas—we will craft our own methods and voices. Students will refine their research methods (library research, note taking, organizing material, bibliographies, citation methods, proposals, outlines, etc.) and design their own independent research project. Students enrolled in this seminar will have the opportunity to participate in the Humanities Scholars Program.",,ARTH 3755,,,,[nan],9.0,4.2,3.5,,,
1041,ASIAN,2275,History of Modern India,Durba Ghosh,09:05AM,09:55AM,"This introductory course is a broad survey of the history of the Indian subcontinent from remnants of the Mughal empire through the end of the British empire into the postcolonial present. Prominent themes include the emergence of nonviolent protest, religious and regional identities, ethnic rivalries, social reform and the ""woman question,"" deindustrialization, nationalism and the place of democracy and militarism in a region that includes two nuclear powers, India and Pakistan. ",,ASIAN 2275,,,,[nan],9.0,4.2,3.5,,,
1042,ASIAN,3375,Humanities Scholars Research Methods,Durba Ghosh,02:45PM,04:00PM,"This course explores the practice, theory, and methodology of humanities research, critical analysis, and communication through writing and oral presentation. We will study the work and impact of humanists (scholars of literature, history, theory, art, visual studies, film, anthropology, gender and sexuality studies), who pose big questions about the human condition. By reading and analyzing their scholarship—critiquing them and engaging their ideas—we will craft our own methods and voices. Students will refine their research methods (library research, note taking, organizing material, bibliographies, citation methods, proposals, outlines, etc.) and design their own independent research project. Students enrolled in this seminar will have the opportunity to participate in the Humanities Scholars Program.",,ASIAN 3375,,,,[nan],9.0,4.2,3.5,,,
1043,HIST,2750,History of Modern India,Durba Ghosh,09:05AM,09:55AM,"This introductory course is a broad survey of the history of the Indian subcontinent from remnants of the Mughal empire through the end of the British empire into the postcolonial present. Prominent themes include the emergence of nonviolent protest, religious and regional identities, ethnic rivalries, social reform and the ""woman question,"" deindustrialization, nationalism and the place of democracy and militarism in a region that includes two nuclear powers, India and Pakistan. ",,HIST 2750,,,,[nan],9.0,4.2,3.5,,,
1044,NES,3750,Humanities Scholars Research Methods,Durba Ghosh,02:45PM,04:00PM,"This course explores the practice, theory, and methodology of humanities research, critical analysis, and communication through writing and oral presentation. We will study the work and impact of humanists (scholars of literature, history, theory, art, visual studies, film, anthropology, gender and sexuality studies), who pose big questions about the human condition. By reading and analyzing their scholarship—critiquing them and engaging their ideas—we will craft our own methods and voices. Students will refine their research methods (library research, note taking, organizing material, bibliographies, citation methods, proposals, outlines, etc.) and design their own independent research project. Students enrolled in this seminar will have the opportunity to participate in the Humanities Scholars Program.",,NES 3750,,,,[nan],9.0,4.2,3.5,,,
1045,SHUM,3750,Humanities Scholars Research Methods,Durba Ghosh,02:45PM,04:00PM,"This course explores the practice, theory, and methodology of humanities research, critical analysis, and communication through writing and oral presentation. We will study the work and impact of humanists (scholars of literature, history, theory, art, visual studies, film, anthropology, gender and sexuality studies), who pose big questions about the human condition. By reading and analyzing their scholarship—critiquing them and engaging their ideas—we will craft our own methods and voices. Students will refine their research methods (library research, note taking, organizing material, bibliographies, citation methods, proposals, outlines, etc.) and design their own independent research project. Students enrolled in this seminar will have the opportunity to participate in the Humanities Scholars Program.",,SHUM 3750,,,,[nan],9.0,4.2,3.5,,,
1046,ANTHR,4222,Archaeological Ethics,Lori Khatchadourian,11:20AM,01:15PM,"What is the role of ethics in archaeology today? What principles shape the discipline's response to serious dilemmas? What is the relationship between ethics and politics in archaeology? This seminar provides an in-depth exploration of these questions across a range of subfields, from indigenous, public, and postcolonial archaeologies, to critical heritage studies, conflict archaeology and the archaeology of the contemporary past. We will learn the normative ethics of Western archaeology, with its concern for best practices, multiculturalism, and the politics of identity, as well as radical alternatives centered on hard politics, oppression, and justice. We will also explore the ethics of the profession, as it pertains to equity and inclusion. This course traverses the terrain of moral right and wrong in archaeology.",,ANTHR 4222,,,,[nan],1.0,5.0,3.0,,,
1047,ANTHR,7222,Archaeological Ethics,Lori Khatchadourian,11:20AM,01:15PM,"What is the role of ethics in archaeology today? What principles shape the discipline's response to serious dilemmas? What is the relationship between ethics and politics in archaeology? This seminar provides an in-depth exploration of these questions across a range of subfields, from indigenous, public, and postcolonial archaeologies, to critical heritage studies, conflict archaeology and the archaeology of the contemporary past. We will learn the normative ethics of Western archaeology, with its concern for best practices, multiculturalism, and the politics of identity, as well as radical alternatives centered on hard politics, oppression, and justice. We will also explore the ethics of the profession, as it pertains to equity and inclusion. This course traverses the terrain of moral right and wrong in archaeology.",,ANTHR 7222,,,,[nan],1.0,5.0,3.0,,,
1048,ARKEO,4222,Archaeological Ethics,Lori Khatchadourian,11:20AM,01:15PM,"What is the role of ethics in archaeology today? What principles shape the discipline's response to serious dilemmas? What is the relationship between ethics and politics in archaeology? This seminar provides an in-depth exploration of these questions across a range of subfields, from indigenous, public, and postcolonial archaeologies, to critical heritage studies, conflict archaeology and the archaeology of the contemporary past. We will learn the normative ethics of Western archaeology, with its concern for best practices, multiculturalism, and the politics of identity, as well as radical alternatives centered on hard politics, oppression, and justice. We will also explore the ethics of the profession, as it pertains to equity and inclusion. This course traverses the terrain of moral right and wrong in archaeology.",,ARKEO 4222,,,,[nan],1.0,5.0,3.0,,,
1049,ARKEO,6100,The Craft of Archaeology,Lori Khatchadourian,04:30PM,05:30PM,"This course engages students in Archaeology and related fields in a semester-long discussion of the craft of archaeology with the faculty of the Cornell Institute of Archaeology and Material Studies. Each week, a different faculty member will moderate a conversation on the professional skills vital to the modern practice of archaeological research and the tools key to professionalization. Seminar topics include developing a research project and working with museum collections to matters of pedagogy and career development.",,ARKEO 6100,,,,[nan],1.0,5.0,3.0,,,
1050,ARKEO,7222,Archaeological Ethics,Lori Khatchadourian,11:20AM,01:15PM,"What is the role of ethics in archaeology today? What principles shape the discipline's response to serious dilemmas? What is the relationship between ethics and politics in archaeology? This seminar provides an in-depth exploration of these questions across a range of subfields, from indigenous, public, and postcolonial archaeologies, to critical heritage studies, conflict archaeology and the archaeology of the contemporary past. We will learn the normative ethics of Western archaeology, with its concern for best practices, multiculturalism, and the politics of identity, as well as radical alternatives centered on hard politics, oppression, and justice. We will also explore the ethics of the profession, as it pertains to equity and inclusion. This course traverses the terrain of moral right and wrong in archaeology.",,ARKEO 7222,,,,[nan],1.0,5.0,3.0,,,
1051,NES,4922,Archaeological Ethics,Lori Khatchadourian,11:20AM,01:15PM,"What is the role of ethics in archaeology today? What principles shape the discipline's response to serious dilemmas? What is the relationship between ethics and politics in archaeology? This seminar provides an in-depth exploration of these questions across a range of subfields, from indigenous, public, and postcolonial archaeologies, to critical heritage studies, conflict archaeology and the archaeology of the contemporary past. We will learn the normative ethics of Western archaeology, with its concern for best practices, multiculturalism, and the politics of identity, as well as radical alternatives centered on hard politics, oppression, and justice. We will also explore the ethics of the profession, as it pertains to equity and inclusion. This course traverses the terrain of moral right and wrong in archaeology.",,NES 4922,,,,[nan],1.0,5.0,3.0,,,
1052,NES,6922,Archaeological Ethics,Lori Khatchadourian,11:20AM,01:15PM,"What is the role of ethics in archaeology today? What principles shape the discipline's response to serious dilemmas? What is the relationship between ethics and politics in archaeology? This seminar provides an in-depth exploration of these questions across a range of subfields, from indigenous, public, and postcolonial archaeologies, to critical heritage studies, conflict archaeology and the archaeology of the contemporary past. We will learn the normative ethics of Western archaeology, with its concern for best practices, multiculturalism, and the politics of identity, as well as radical alternatives centered on hard politics, oppression, and justice. We will also explore the ethics of the profession, as it pertains to equity and inclusion. This course traverses the terrain of moral right and wrong in archaeology.",,NES 6922,,,,[nan],1.0,5.0,3.0,,,
1053,ANTHR,4240,Collecting Culture: Museums and Anthropology,Frederic Gleach,11:20AM,01:15PM,"Ethnographic and archaeological objects are widely collected, by individuals and by institutions. This course will explore the history and processes of museums and collecting, and issues around working with collections. We will work with materials in the Anthropology Collections, and also draw on other resources on campus and in the area to experience a variety of ways that museums and collections are organized, maintained, conceptualized and presented. We also will consider challenges to collecting, such as its implication in nationalist and imperialist agendas, the problems of archaeological looting and ethnographic appropriation, and indigenous expectations and demands for inclusion in such activities.",Prerequisite: at least one course in anthropology or archaeology.,ANTHR 4240,,,,[],4.0,3.6,1.8,,,
1054,ANTHR,7240,Collecting Culture: Museums and Anthropology,Frederic Gleach,11:20AM,01:15PM,"Ethnographic and archaeological objects are widely collected, by individuals and by institutions. This course will explore the history and processes of museums and collecting, and issues around working with collections. We will work with materials in the Anthropology Collections, and also draw on other resources on campus and in the area to experience a variety of ways that museums and collections are organized, maintained, conceptualized and presented. We also will consider challenges to collecting, such as its implication in nationalist and imperialist agendas, the problems of archaeological looting and ethnographic appropriation, and indigenous expectations and demands for inclusion in such activities.",,ANTHR 7240,,,,[nan],4.0,3.6,1.8,,,
1055,ARKEO,4240,Collecting Culture: Museums and Anthropology,Frederic Gleach,11:20AM,01:15PM,"Ethnographic and archaeological objects are widely collected, by individuals and by institutions. This course will explore the history and processes of museums and collecting, and issues around working with collections. We will work with materials in the Anthropology Collections, and also draw on other resources on campus and in the area to experience a variety of ways that museums and collections are organized, maintained, conceptualized and presented. We also will consider challenges to collecting, such as its implication in nationalist and imperialist agendas, the problems of archaeological looting and ethnographic appropriation, and indigenous expectations and demands for inclusion in such activities.",Prerequisite: at least one course in anthropology or archaeology.,ARKEO 4240,,,,[],4.0,3.6,1.8,,,
1056,ARKEO,7240,Collecting Culture: Museums and Anthropology,Frederic Gleach,11:20AM,01:15PM,"Ethnographic and archaeological objects are widely collected, by individuals and by institutions. This course will explore the history and processes of museums and collecting, and issues around working with collections. We will work with materials in the Anthropology Collections, and also draw on other resources on campus and in the area to experience a variety of ways that museums and collections are organized, maintained, conceptualized and presented. We also will consider challenges to collecting, such as its implication in nationalist and imperialist agendas, the problems of archaeological looting and ethnographic appropriation, and indigenous expectations and demands for inclusion in such activities.",,ARKEO 7240,,,,[nan],4.0,3.6,1.8,,,
1057,ANTHR,4401,Advanced Documentary Production,Natasha Raheja,01:30PM,04:30PM,"This production seminar is for students with basic documentary filmmaking skills who want to work with previously collected footage and/or are in production on a project in or around Ithaca. Over the course of the semester, students complete a documentary film based on an immersive engagement with their selected subject matter. Alongside watching and discussing relevant texts and films, students will complete exercises to help them focus their projects, build a cohesive narrative, learn script writing, brainstorm scene ideas, overcome narrative challenges, discover their aesthetic, and develop a film circulation plan. Students will regularly present new footage and scenes and explain their work in terms their goals for the final project. The course culminates in a public screening of students' independent video projects.",Prerequisite: completed a documentary production fundamentals or introduction to documentary course and/or has acquired basic documentary skills.,ANTHR 4401,,,,[],3.0,2.3,3.3,,,
1058,ANTHR,7401,Advanced Documentary Production,Natasha Raheja,01:30PM,04:30PM,"This production seminar is for students with basic documentary filmmaking skills who want to work with previously collected footage and/or are in production on a project in or around Ithaca. Over the course of the semester, students complete a documentary film based on an immersive engagement with their selected subject matter. Alongside watching and discussing relevant texts and films, students will complete exercises to help them focus their projects, build a cohesive narrative, learn script writing, brainstorm scene ideas, overcome narrative challenges, discover their aesthetic, and develop a film circulation plan. Students will regularly present new footage and scenes and explain their work in terms their goals for the final project. The course culminates in a public screening of students' independent video projects.",Prerequisite: completed a documentary production fundamentals or introduction to documentary course and/or has acquired basic documentary skills.,ANTHR 7401,,,,[],3.0,2.3,3.3,,,
1059,PMA,4401,Advanced Documentary Production,Natasha Raheja,01:30PM,04:30PM,"This production seminar is for students with basic documentary filmmaking skills who want to work with previously collected footage and/or are in production on a project in or around Ithaca. Over the course of the semester, students complete a documentary film based on an immersive engagement with their selected subject matter. Alongside watching and discussing relevant texts and films, students will complete exercises to help them focus their projects, build a cohesive narrative, learn script writing, brainstorm scene ideas, overcome narrative challenges, discover their aesthetic, and develop a film circulation plan. Students will regularly present new footage and scenes and explain their work in terms their goals for the final project. The course culminates in a public screening of students' independent video projects.",Prerequisite: completed a documentary production fundamentals or introduction to documentary course and or has acquired basic documentary skills.,PMA 4401,,,,[],3.0,2.3,3.3,,,
1060,PMA,7401,Advanced Documentary Production,Natasha Raheja,01:30PM,04:30PM,"This production seminar is for students with basic documentary filmmaking skills who want to work with previously collected footage and/or are in production on a project in or around Ithaca. Over the course of the semester, students complete a documentary film based on an immersive engagement with their selected subject matter. Alongside watching and discussing relevant texts and films, students will complete exercises to help them focus their projects, build a cohesive narrative, learn script writing, brainstorm scene ideas, overcome narrative challenges, discover their aesthetic, and develop a film circulation plan. Students will regularly present new footage and scenes and explain their work in terms their goals for the final project. The course culminates in a public screening of students' independent video projects.",Prerequisite: completed a documentary production fundamentals or introduction to documentary course and or has acquired basic documentary skills.,PMA 7401,,,,[],3.0,2.3,3.3,,,
1061,ANTHR,4437,Ethnographies of Development,Marina Welker,02:40PM,04:35PM,"This seminar develops an ethnographic approach to projects aiming to improve the human condition. Our object of study - development, humanitarianism, and the will to improve - is defined capaciously to allow for the study of projects ranging in orientation from politically conservative to progressive and revolutionary; from religious to secular; and from the global South to the global North. Whether we are studying construction megaprojects or hygiene lessons, programs for preserving tradition or introducing modernity, climate change mitigation efforts or truth commissions, we will explore ethnographically the actors, targets, explicit motives, practical techniques, and intended and unintended consequences. Our aim will be to link the micropolitics of lived experience and intersubjective relations to the macropolitics that structure and enable improvement projects.",,ANTHR 4437,,,,[nan],2.0,5.0,2.5,,,
1062,ANTHR,6440,Proposal Development,Marina Welker,02:40PM,04:35PM,"This seminar focuses on preparing a full-scale proposal for anthropological fieldwork for a dissertation. Topics include identifying appropriate funding sources; defining a researchable problem; selecting and justifying a particular fieldwork site; situating the ethnographic case within appropriate theoretical contexts; selecting and justifying appropriate research methodologies; developing a feasible timetable for field research; ethical considerations and human subjects protection procedures; and preparing appropriate budgets. This is a writing seminar, and students will complete a proposal suitable for submission to a major funding agency in the social sciences.",,ANTHR 6440,,,,[nan],2.0,5.0,2.5,,,
